id,date,no,jenis,ukuran,is_statue,omset,ongkir,total,hpp,filament_grams,filament_kg,filament_cost,patung,n12,c12,f12,n15,c15,f15,sn12,sc12,sf12,sn15,sc15,sf15,notes
86,2026-06-23,02,Single,15cm,False,204000,25000,229000,39340,100,0.1,15800,1,0,0,0,1,0,0,0,0,0,0,0,0,
87,2026-06-23,03,Couple,15cm,True,249000,25000,274000,74481,300,0.3,47400,2,0,0,0,0,0,0,0,0,0,0,2,0,statue: painter 0
88,2026-06-23,04,Single,12cm,False,159000,25000,184000,38820,100,0.1,15800,1,1,0,0,0,0,0,0,0,0,0,0,0,
89,2026-06-23,05,Single,15cm,False,274000,25000,299000,39340,100,0.1,15800,1,0,0,0,1,0,0,0,0,0,0,0,0,
90,2026-06-23,06,2 Single,15cm,False,408000,25000,433000,39340,100,0.1,15800,1,0,0,0,1,0,0,0,0,0,0,0,0,harga tinggi tapi jenis single; cek manual
91,2026-06-23,07,Single,12cm,False,174000,25000,199000,38820,100,0.1,15800,1,1,0,0,0,0,0,0,0,0,0,0,0,
92,2026-06-24,01,family 3 figur,12cm,False,314000,0,314000,38820,100,0.1,15800,1,1,0,0,0,0,0,0,0,0,0,0,0,harga tinggi tapi jenis single; cek manual
93,2026-06-24,01,Couple,12cm,False,314000,25000,339000,103440,300,0.3,47400,2,0,2,0,0,0,0,0,0,0,0,0,0,
94,2026-06-24,03,Single,15cm,False,204000,25000,229000,39340,100,0.1,15800,1,0,0,0,1,0,0,0,0,0,0,0,0,
95,2026-06-24,04,Single,15cm,False,204000,25000,229000,39340,100,0.1,15800,1,0,0,0,1,0,0,0,0,0,0,0,0,
96,2026-06-25,01,Couple,15cm,True,249000,30000,279000,74481,300,0.3,47400,2,0,0,0,0,0,0,0,0,0,0,2,0,statue: painter 0
97,2026-06-25,02,Couple,15cm,True,249000,30000,279000,74481,300,0.3,47400,2,0,0,0,0,0,0,0,0,0,0,2,0,statue: painter 0
98,2026-06-25,03,Couple,15cm,False,314000,25000,339000,104481,300,0.3,47400,2,0,0,0,0,2,0,0,0,0,0,0,0,
99,2026-06-25,04,Single,12cm,False,174000,25000,199000,38820,100,0.1,15800,1,1,0,0,0,0,0,0,0,0,0,0,0,
100,2026-06-25,05,Single,15cm,False,204000,25000,229000,39340,100,0.1,15800,1,0,0,0,1,0,0,0,0,0,0,0,0,
101,2026-06-25,06,Single,15cm,False,204000,25000,229000,39340,100,0.1,15800,1,0,0,0,1,0,0,0,0,0,0,0,0,
102,2026-06-25,07,Couple,15cm,False,314000,25000,339000,104481,300,0.3,47400,2,0,0,0,0,2,0,0,0,0,0,0,0,
103,2026-06-25,08,2 Single,12cm,False,348000,30000,378000,38820,100,0.1,15800,1,1,0,0,0,0,0,0,0,0,0,0,0,harga tinggi tapi jenis single; cek manual
104,2026-06-25,09,Couple,12cm,False,264000,25000,289000,103440,300,0.3,47400,2,0,2,0,0,0,0,0,0,0,0,0,0,
105,2026-06-25,10,Couple,12cm,False,274000,25000,299000,103440,300,0.3,47400,2,0,2,0,0,0,0,0,0,0,0,0,0,
106,2026-06-26,1,Single,15cm,False,204000,25000,229000,39340,100,0.1,15800,1,0,0,0,1,0,0,0,0,0,0,0,0,
107,2026-06-26,02,Single,12cm,False,174000,25000,199000,38820,100,0.1,15800,1,1,0,0,0,0,0,0,0,0,0,0,0,
108,2026-06-26,03,Single,15cm,False,214000,25000,239000,39340,100,0.1,15800,1,0,0,0,1,0,0,0,0,0,0,0,0,
109,2026-06-26,04,Single,15cm,False,204000,25000,229000,39340,100,0.1,15800,1,0,0,0,1,0,0,0,0,0,0,0,0,
110,2026-06-26,05,Single,12cm,False,174000,25000,199000,38820,100,0.1,15800,1,1,0,0,0,0,0,0,0,0,0,0,0,
111,2026-06-26,06,Single,12cm,False,174000,15000,189000,38820,100,0.1,15800,1,1,0,0,0,0,0,0,0,0,0,0,0,
112,2026-06-26,07,Single,12cm,True,159000,25000,184000,28820,100,0.1,15800,1,0,0,0,0,0,0,1,0,0,0,0,0,statue: painter 0
113,2026-06-27,01,Single (MARMER),15cm,True,299000,30000,329000,29340,100,0.1,15800,1,0,0,0,0,0,0,0,0,0,1,0,0,statue: painter 0
114,2026-06-27,02,Single,12cm,False,174000,25000,199000,38820,100,0.1,15800,1,1,0,0,0,0,0,0,0,0,0,0,0,
115,2026-06-27,01,single,15 cm,False,204000,25000,229000,39340,100,0.1,15800,1,0,0,0,1,0,0,0,0,0,0,0,0,
116,2026-06-27,03,couple,12cm,True,249000,25000,274000,73440,300,0.3,47400,2,0,0,0,0,0,0,0,2,0,0,0,0,statue: painter 0
117,2026-06-27,04,single,15cm,True,199000,30000,229000,29340,100,0.1,15800,1,0,0,0,0,0,0,0,0,0,1,0,0,statue: painter 0
118,2026-06-27,02,couple dan single,12 cm,False,453000,25000,478000,103440,300,0.3,47400,2,0,2,0,0,0,0,0,0,0,0,0,0,
119,2026-06-27,05,single,15cm,True,185000,30000,215000,29340,100,0.1,15800,1,0,0,0,0,0,0,0,0,0,1,0,0,statue: painter 0
120,2026-06-27,06,single,15cm,False,234000,25000,259000,39340,100,0.1,15800,1,0,0,0,1,0,0,0,0,0,0,0,0,
121,2026-06-27,03,SINGLE,12cm,True,159000,31000,190000,28820,100,0.1,15800,1,0,0,0,0,0,0,1,0,0,0,0,0,statue: painter 0
122,2026-06-27,07,single,15cm,False,204000,25000,229000,39340,100,0.1,15800,1,0,0,0,1,0,0,0,0,0,0,0,0,
123,2026-06-28,01,single,15 cm,False,189000,25000,214000,39340,100,0.1,15800,1,0,0,0,1,0,0,0,0,0,0,0,0,
124,2026-06-28,02,Couple,15 cm,False,314000,25000,339000,104481,300,0.3,47400,2,0,0,0,0,2,0,0,0,0,0,0,0,
125,2026-06-28,01,single marmer,12cm,True,259000,26000,285000,28820,100,0.1,15800,1,0,0,0,0,0,0,1,0,0,0,0,0,statue: painter 0
126,2026-06-28,02,single marmer,12cm,True,249000,25000,274000,28820,100,0.1,15800,1,0,0,0,0,0,0,1,0,0,0,0,0,statue: painter 0
127,2026-06-28,03,couple,12cm,True,249000,25000,274000,73440,300,0.3,47400,2,0,0,0,0,0,0,0,2,0,0,0,0,statue: painter 0
